id,text,label
f675d02a-ce59-4520-a78e-ae062cdc27a7,"Sometimes, I feel like I’d rather just fade away and let the world forget about me. It’s like I’m invisible anyway, so what’s the point of being here?",ideation
518029b6-94a1-49f8-a5c6-b07fdcb47318,There are moments when I wish I could simply vanish. The thought of not existing feels oddly comforting sometimes.,ideation
71cf7f65-da0b-471e-9c6e-3ada6175f0a6,I often catch myself daydreaming about a life where I’m not around. It’s a strange relief to think about escaping everything.,ideation
f47ac403-2a8c-4797-a6db-3c0cb0d748b5,"Lately, I’ve been wondering what it would be like if I just disappeared. It feels like a weight lifted just to imagine it.",ideation
1638bd5a-048d-441f-b7a4-327a41ceed5d,Sometimes I think about how easy it would be to stop existing. The idea lingers in my mind like a quiet whisper.,ideation
edef450b-6c59-401f-8946-f80bd60f46d4,I often feel like I’m just going through the motions of life. The thought of not having to feel anything anymore is strangely appealing.,ideation
9723ae82-fbbb-46f8-b594-95c9f7637443,"I find myself wishing I could just slip away into nothingness. It's a thought that comes and goes, but it lingers longer than I’d like.",ideation
fa284f3a-bcc8-46cb-95c4-897d2ba75ff5,"There are days when I feel so low that the idea of disappearing seems like the best option. It’s hard to explain, but it’s a comfort in dark times.",ideation
a0dac032-a0d8-4b44-a958-9f0f9db6f0e3,I often imagine what it would be like if I just didn’t exist anymore. It’s a thought that brings both fear and a sense of peace.,ideation
7234d982-f2d0-4f3f-9ef9-ed8f69041a6a,Sometimes I wonder if the world would even notice if I vanished. The thought of being invisible is oddly enticing.,ideation
bc70db04-6a55-4fd5-bbba-9e5ecaa9699c,I have days where the thought of just not being here feels like an escape. It’s hard to shake off that feeling.,ideation
2bc06b35-db0c-4205-a77a-e1a0c0f87e2f,There are moments when I stare at the world around me and think about how easy it would be to disappear. It’s a thought I wish wouldn’t cross my mind.,ideation
d5643a3f-802f-48dc-8990-9cf1883a024e,I often think about how life would go on without me. The idea of slipping away quietly can feel oddly soothing sometimes.,ideation
02bb8e7b-ff13-495a-8343-174d20637760,It’s strange how I sometimes wish I could just disappear without a trace. The thought often lingers in the back of my mind.,ideation
55f227e3-cc68-4649-9a1f-13d75ec6c06d,I sometimes fantasize about a world where I’m no longer part of it. It’s a thought that feels heavy yet liberating.,ideation
23aa27ce-308a-46e7-82ee-525d87b880cb,There are days when I feel so disconnected that I wish I could just vanish. Nothingness sounds peaceful in those moments.,ideation
ff976bab-cb67-4a21-90bd-7f22a0196a21,I find myself contemplating the idea of not existing anymore. It’s a thought that brings a strange kind of solace.,ideation
b9043223-22e2-4e71-add3-686848c802d5,"Sometimes, I daydream about just disappearing. The prospect of being free from everything is both terrifying and comforting.",ideation
6e84e25c-446f-413b-86b8-f00b0991fbf3,I can’t help but wonder what it would be like to just not be here anymore. That thought hovers over me like a cloud.,ideation
19fd3318-0799-4094-8b37-1162a0d54f23,I have times when I feel like I could just slip away and no one would care. It’s a heavy thought that I wrestle with.,ideation
233d910d-25ab-4023-980c-6dd3a1a24038,"Sometimes I feel overwhelmed by everything, and the idea of not existing feels like a way out. It’s a thought I struggle to shake.",ideation
d9553786-1fc8-4cf6-ab13-0195f1065bd1,"There are moments when I think about how easy it would be to disappear. It’s a thought that I try to push away, but it keeps coming back.",ideation
