id,text,label
35a02c70-5118-46ee-b40f-b8035ea56d5d,"Sometimes, I find myself wondering if it would be easier to just not be here anymore. It's like a shadow that lingers in my thoughts, whispering about escape.",ideation
d12e1b8e-a24b-488b-bc6f-b6b8884e2f45,"I often daydream about what it would be like if I just disappeared. It feels like a heavy blanket over my mind, making it hard to see beyond the darkness.",ideation
901d187a-045d-4074-82ac-3eb8cef4cc5a,"There are moments when I think about how peaceful it might be to just let go. It’s a feeling I can’t shake, like a constant weight on my heart.",ideation
e25d4e83-6de3-47c8-9dba-3609e8f1a0dc,I catch myself thinking that maybe the world would be better off without me. It’s a thought that pops up when I’m feeling especially low.,ideation
aa12427b-bb57-4f55-bab3-44c9e8ccfcf6,"In my quieter moments, I reflect on the idea of not waking up anymore. It’s not that I want to hurt anyone, I just wish for the pain to stop.",ideation
36126ca4-192d-40b0-a1ba-c3fb1fbb8be6,"Sometimes, I feel like I’m just going through the motions of life, wishing I could fade away. It’s an unsettling thought that I can’t seem to shake.",ideation
9c99708e-7e91-4c3f-847e-f146157a219a,I often think about what it would be like to be free from all this pain. The thought of just letting everything go crosses my mind more often than I'd like.,ideation
be22c672-1c16-431a-b3df-c2bfdfca8bc8,"There are days when I wonder if anyone would notice if I just vanished. That thought lingers like a fog, making it hard to breathe.",ideation
fd873ab4-d358-4885-80ae-7e0552a4b813,I frequently imagine what it would feel like to escape my life completely. It's not that I want to hurt anyone; I just crave a sense of relief.,ideation
10fd39de-bdf3-474b-b47c-44a14d71eabb,"Sometimes, I think about how quiet everything would be if I just stepped away from it all. It's a thought that gives me both comfort and fear.",ideation
1f644166-f648-4748-a982-ac9b7479c20a,"I find myself lost in thoughts about ceasing to exist. It's like a dark tunnel, and I’m not sure how to find my way back to the light.",ideation
2f1a624f-dcdf-46fc-b9cc-530363b8608f,"There are moments when I long for an end to my struggles. I think about what it would be like to simply drift away, unnoticed.",ideation
b9a9c77c-ddfd-4df9-875a-adb739c19231,"I sometimes sit in silence, contemplating the idea of not having to face tomorrow. It’s a thought that can be oddly soothing at times.",ideation
1446ef1a-693c-4579-877b-2b79efac490a,I catch myself wishing for a way to escape the pain of living. It’s a soft whisper in my mind that I can’t quite silence.,ideation
16dd80ac-b5f0-4911-b6d1-9993530abe6d,"In my darker moments, I ponder how peaceful it might be to never feel anything again. It’s a recurring thought that feels both frightening and freeing.",ideation
fef17bea-ad59-42b6-80ae-ac2cdad462d3,I often find myself lost in thoughts about leaving everything behind. There’s a strange allure to the idea of just fading away.,ideation
0e1c87ca-76d0-4c4d-932d-e40d881c2f4c,I think about how the world would continue on if I were no longer part of it. It’s a thought that brings a mix of sadness and relief.,ideation
114eccf3-6d94-4712-974d-b0beeefff12c,"Sometimes, I reflect on how exhausting it is to battle my feelings. The thought of not having to fight anymore is oddly comforting.",ideation
75fa1c99-1f85-483e-bacf-8e007530747e,"I often wonder if anyone would notice if I just disappeared. The thought lingers like a heavy cloud, making it hard to focus.",ideation
5de2e777-75a6-4028-93ca-8b9d4f7034ad,"There are nights when I wish for a way out of this pain, fantasizing about what it would mean to just let go. It’s a complex mix of yearning and despair.",ideation
9b408923-6e82-44ac-b1af-0b6ad721077c,I find myself reflecting on the idea of slipping away quietly. It's a thought that feels both heavy and strangely appealing at times.,ideation
bf00bbae-3e21-45d8-8982-54e01c44e961,"Sometimes, it feels like life would be less complicated if I weren't here. That thought creeps into my mind when the weight feels too heavy.",ideation
71e7dd9c-1dfe-40f2-a5ac-a6a0e3b71d4e,I often drift into thoughts about how peaceful it might be to not exist anymore. It’s an idea that surfaces when I’m feeling overwhelmed.,ideation
e1bc6a3d-d23a-4fdc-8900-64d115acd0bd,"There are days when I feel trapped in my own mind, wishing I could escape. The thought of disappearing feels like a way out.",ideation
5a152df6-b0b8-4eee-956a-d63026153fc2,I sometimes think about how nice it would be to just stop feeling. It’s a thought that visits me during my lonelier moments.,ideation
20ceffd5-8049-4127-a5af-d3bb859fa34c,There are times when I fantasize about how quiet everything would be if I didn’t exist. It’s a thought that brings both comfort and sadness.,ideation
6d128ab2-ec41-43b9-8092-9ee686b1cb4f,I find myself caught in a cycle of wondering if anyone would really care if I were gone. It’s a haunting thought that I can’t escape.,ideation
ef72bf9e-0c4d-46e1-9409-10a05d7e1a94,"Sometimes, I wish I could just slip away without a trace. The idea of being free from everything feels overwhelmingly tempting.",ideation
ed85a649-8fb5-4208-b864-351c4800afac,I often reflect on how it would feel to be free from my struggles. It’s a thought that brings a sense of longing and uncertainty.,ideation
3b783c40-c15f-4f0b-8610-902e828a9c06,There are moments when I think about how quiet it would be if I just faded away. It's a thought that lingers in the shadows of my mind.,ideation
3375b1da-55b8-4fac-b3aa-58d9dc3d12f6,I sometimes consider that maybe I’d be better off not existing. It’s a thought that drifts in and out of my consciousness.,ideation
fc501560-3ce8-43cc-8ac2-370fadb2aaf5,I think about how easy it would be to let go of everything. The idea of finding peace in silence crosses my mind more often than I’d like.,ideation
f5bb3bc2-2f59-4df8-a7bb-c7fa9691712c,"In my most difficult moments, I wonder if anyone would truly miss me if I were gone. It’s a thought that weighs heavily on my heart.",ideation
3f7eecd1-7ab5-4935-b44b-6f501761d35b,"Sometimes, I feel like I’m carrying a weight that’s too heavy to bear. The thought of releasing it all can be strangely soothing.",ideation
fe12e789-2dc0-4cda-865a-a67861255302,There are days when the thought of disappearing feels like a comforting escape. It’s a feeling that often catches me off guard.,ideation
a7949f2f-c12a-4b8c-b4d6-f558ecc9d6a8,I often daydream about the idea of not having to face another day. It’s a thought that fills me with both fear and a strange sense of relief.,ideation
ed474ad7-4f95-4523-a81e-f5044834f9bd,"Sometimes, I wish I could wake up and find that everything has just gone away. It’s a fleeting thought that brings a moment of solace.",ideation
062fe39b-6a06-4731-86f3-93260e88e6f9,I find myself thinking about how simple life would be if I were not here. It’s a thought that comes to me when the world feels too heavy.,ideation
8b728b12-1c9c-4e76-add4-c042b21395b8,There are moments when I contemplate how freeing it might be to let everything go. It’s a mix of longing and hopelessness that I can’t shake.,ideation
48f20d8d-4874-4310-8fe7-bf8cf9baf530,I sometimes think about how nice it would be to escape all of my worries. It's a thought that makes me feel both comforted and scared.,ideation
42224792-d841-4576-a007-c1528bf4eac8,"Sometimes, I feel like I’m just a burden and wonder if anyone would care if I weren’t around. That thought lingers in my mind like an unwelcome guest.",ideation
7b42b56d-eec3-4c74-a4b8-9d85d065199d,I often reflect on the possibility of just disappearing from it all. It’s a thought that both comforts and terrifies me.,ideation
e8cfd42e-2f20-4810-aa53-b7ae0467e697,"There are days when I think about how peaceful it might be to simply not exist. It’s a thought that dances in my mind, sometimes bringing clarity.",ideation
5ff3b44b-419b-4471-b035-9ebe5869f51a,"Sometimes, I daydream about what it would be like to escape my own thoughts. It’s a thought that feels like both a burden and a relief.",ideation
d1be244d-20fc-49e5-b4b0-30211a62cc7b,I often wonder if anyone would really notice my absence. It’s a thought that fills me with a strange sense of isolation.,ideation
10796c7e-7f31-42eb-82d2-305819c58d17,There are nights when I think about just drifting away into the silence. It’s a thought that feels both inviting and frightening.,ideation
37b0810b-336c-4f03-a2b7-6f512fe86cb0,"Sometimes, I reflect on how nice it would be to have no more pain. It’s a thought that offers fleeting comfort in moments of despair.",ideation
4b11f99d-3e74-437d-a885-8e350821cfc8,I often think about how the world would go on without me. It’s a thought that makes me feel both invisible and strangely at peace.,ideation
3c178371-68c1-4a3c-bae5-8497dac4817b,I sometimes dream about what it would feel like to be free from my struggles. That thought lingers like a gentle whisper in my mind.,ideation
a234e350-80b9-48f3-80c6-7093eb88393e,"In my quietest moments, I find myself pondering the idea of simply not being anymore. It’s a thought that sometimes brings me comfort in the chaos.",ideation
38ce02d1-8137-48a7-8339-0e8b99647fe6,"Sometimes, I find myself wishing that I could just disappear. The weight of my thoughts feels too heavy to bear, and I wonder if it would be easier to let go.",ideation
e8f5f1c5-1e00-4ae7-904b-a852a649fe31,"There are moments when I sit in silence, contemplating what it would be like if I were no longer here. It’s a thought that lingers, even if I don’t truly want it to happen.",ideation
1810eee0-e94a-44c6-9a5e-db816656e4ec,"Occasionally, I feel an overwhelming sense of hopelessness, and I start to think about how simple it could be to just not exist anymore. It scares me that these thoughts come so easily.",ideation
26999f90-6ce3-4f3d-842e-4702eaf5909c,I often catch myself daydreaming about a world where I have quietly slipped away. It’s not that I want to act on it; it’s a strange comfort in imagining.,ideation
e92edf3e-7620-4631-b1f9-8444b020a691,"In my darkest moments, I can’t help but wonder if anyone would notice if I were gone. These thoughts sometimes bring a strange sense of peace, though I don’t really want to feel this way.",ideation
50fe95ad-d253-491b-99e7-4f0ac8fa145b,There are times when I feel so disconnected from everything that I consider the idea of not being around anymore. It’s a fleeting thought that still makes me pause.,ideation
dcd3207a-cdd7-45a6-b4f5-32ca7ef0a971,"I often reflect on the idea of escape, thinking that maybe it would be easier if life didn’t continue for me. It’s a thought that makes me question my own desires.",ideation
8b5efaa9-490f-492a-bda4-318211438af0,"Sometimes I find myself lost in thoughts about how simple it would be to just let go. It’s not a plan or a wish, just an idea that bubbles up in my mind.",ideation
6ff04f62-c572-47ce-b358-5a8399aa117a,There are moments when I ponder what my life would be like if I weren’t here anymore. It’s a complicated thought that brings both fear and a sense of relief.,ideation
a599f3ba-26b9-46fb-ab7e-d4296da99a37,"In moments of despair, I often think about the possibility of not existing. I know it’s just a thought, but it lingers longer than I’d like.",ideation
5a78be32-8847-4c6a-a99d-0a96916b9455,"Sometimes, I find myself wishing to escape my reality entirely. I think about how peaceful it could be to simply fade away.",ideation
1f79a8e3-ddff-4243-94d2-99fc78215351,I often sit alone with my thoughts and wonder if anyone would miss me if I just disappeared. It’s a troubling idea that I can’t shake off.,ideation
